kode_batik,nama_batik,ina_deskripsi,eng_deskripsi
42,Gedhangan,"Gendhangan yaitu wujud dari sebuah tabung yang biasanya untuk menyimpan benda- benda penting atau bertuah sebagai azimat. Jadi gendhangan ini adalah simbol dari kehendak manusia bisa menyimpan sesuatu yang bersifat rahasia.
","Gendhangan is the shape of a tube that is usually used to store important or sacred objects as amulets. So, gendhangan is a symbol of the human will to be able to keep something secret."
43,Sekar Pala,"Sekar pala, ragam hias ini diambil dari bentuk bunga tanaman pala (Myristica fragrant) yang buahnya memiliki biji harum serta mengandung senyawa yang membuat pikiran terasa tenang. Makna dari ragam hias ini adalah mengharapkan sebuah kehidupan pemakainya yang tenang dan tentram namun tetap waspada terhadap segala kemungkinan yang dapat terjadi. Atau memberi peringatan supaya dalam hidup ini manusia tidak boleh lengah.","Sekar pala, this motif is taken from the shape of nutmeg (Myristica fragrant) flowers whose fruits have fragrant seeds and contain a compound that can calm the mind. The meaning of this motif is a hope for the wearer for a calm and peaceful life but remain alert to all possibilities that may occur, or a warning that humans should not be careless in life."
44,Klampok Arum,Klampok Arum adalah nama salah satu varietas jambu (Syzygium jambos) yang rasa manis dan aromanya harum. Pada masyarakat Jawa ada kepercayaan apabila seseorang menanam jambu Klampok Arum maka dipercaya dia akan mendapatkan nama yang harum dan akan selalu dipandang baik oleh orang lain. Ragam hias ini merupakan pengharapan agar pemakainnya selalu mendapatkan nama baik dan kebahagiaan.,"Klampok Arum is the name of a guava variety (Syzygium jambos) which tastes sweet and has a fragrant aroma. In the Javanese society, there is a belief that if someone plants Klampok Arum guava, the person will get a good name and will always be well respected by others. This motif symbolizes the hope that the wearer will always get a good name and happiness."
45,Sekar Jali,Hanya sebagai ide dari bentuk bunga tanaman jali (Coix lacryma-jobi L). Diambil bentuk bunganya sebagai ide mencipta salah satu motif batik. Tanaman jali adalah rumput-rumputan yang menghasilkan yang apabila dimasak dapat mengenyangkan. Artinya ragam hias ini adalah simbol dari kehidupan yang memberikan manfaat.,"Just an idea from the shape of the jali (Coix lacryma-jobi L) flower, taken to create a batik motif. Jali plants are grasses that produce something which when cooked can be filling. This means that this motif is a symbol of beneficial life."
46,Sekar Lintang,"Lintang berarti bintang. Bunga dari bintang adalah sinar, maknanya jadilah manusia yang besar layaknya bintang dan bermanfaat untuk orang lain.","Lintang means stars. The flower of a star is a ray, which means be a great human that like a star and be useful for others."
47,Sekar Kenanga,Bunga Kenanga (Cananga odorata) selalu ada pada setiap upacara ritual yang menggunakan bunga. Bunga Kenanga dimanfaatkan karena aroma keharuman yang sangat khas. Mempunyai makna agar kita selalu menghormati leluhur dengan cara berbuat kebaikan.,Kenanga (Cananga odorata) flower is always there at every ritual involving flower. This flower is used because of its very distinctive fragrance. It has the meaning that we should always respect our ancestors by doing good.
48,"Sekar Jeruk
","Sekar Jeruk (Citrus) dalam bahasa Jawa bernama alon (Bahasa Indonesia-pelan), yang berarti manusia hendaknya berjalan pelan sesuai dengan haknya. Janganlah berbuat secara grusa-grusu (terburu-buru) yang akan menghasilkan sesuatu yang kurang maksimal, apalagi sampai merebut hak orang lain. Alon dalam Bahasa Jawa adalah lawan dari kata grusa-grusu atau terburu-buru. Ragam motif ini menyiratkan bahwa kita harus berhati-hati namun tetap waspada sehingga dalam hidupnya tidak menjumpai kondisi yang mencelakakan atau berbahaya untuk kelanjutan hidupnya. Dengan kata lain, ragam hias ini mengharapkan keselamatan dalam hidup seseorang (pemakainya).","Sekar Jeruk (Citrus) in Javanese is called alon (slow), which means humans should walk slowly according to their rights. Do not act in a hurry (grusa-grusu) which will result in something less than maximal, let alone usurping the rights of others. Alon in Javanese is the opposite of the word grusa-grusu or in a hurry. This motif implies that we must be careful and remain alert so that we will not encounter conditions that are harmful or dangerous for the continuation of our life. In other words, this motif expects safety in someone's (the wearer's) life."
49,Sekar Mindi,"Diambil bentuk bunganya sebagai ide membuat salah satu bentuk motif nitik. Pohon mindi (Melia azedarach) adalah pohon yang batang kayunya bermanfaat bagi kehidupan, jadi ragam hias ini mengharapkan pemakainya selalu berbuat yang bermanfaat bagi sesama.
","The shape of the flower was taken as an idea to make a nitik motif. Mindi (Melia azedarach) is a tree whose trunk is useful for life, so this motif expects the wearer to always do something useful for others."
50,Tanjung Gunung,"Tanjung gunung. Tanjung adalah tanaman yang memiliki bunga beraroma harum sedangkan tajuknya sebagai peneduh. Makna dari ragam hias tanjung gunung adalah sebuah harapan agar pemakainya mendapatkan banyak kebahagiaan dan kehormatan, serta nama baik dalam hidupnya sekarang maupun di kemudian hari.
","Tanjung gunung. Tanjung is a plant that has fragrant flowers while the crown serves as a shade. The meaning of the tanjung gunung motif is a hope that the wearer will get a lot of happiness and honour, as well as a good name in his life presently and the future."
51,Sekar Kenikir,"Hanya dilihat dari bentuk bunga kenikir sebagai ide untuk membuat salahsatu ragam motif nitik. Tanaman kenikir
(Cosmos caudatus) memiliki banyak manfaat bagi kesehatan antara lain untuk menangkal berbagai macam penyakit. Bunga kenikir mengingat manfaat daun kenikir bagi kesehatan. Ragam hias ini merupakan simbol kegiatan yang bermanfaat selalu diharapkan terjadi pada manusia pemakainya.","Only seen from the shape of a kenikir flower as an idea to make a nitik motif. Kenikir plant (Cosmos caudatus) has many benefits for health, among others, to ward off various diseases. Considering the benefits of kenikir flowers and leaves for health, this motif is a symbol of useful activities that are always expected to happen to the wearer."
52,Sekar Blimbing,"Diambil bentuk bunganya pada tanaman belimbing (Averrhoa carambola) sebagai ide mencipta salah satu motif batik yang filosofinya bertujuan untuk memancarkan kebaikan.
",The shape of the flowers of star fruits (Averrhoa carambola) is taken as an idea to create a batik motif whose philosophy aims to radiate goodness.
53,Sekar Pijetan,Pijetan adalah nama buah yang rasanya asam manis menyegarkan. Makan dari ragam hias ini adalah sebuah harapan agar pemakainya dapat memelihara keseimbangan dalam hidupnya sehingga mencapai kehidupan yang tenang dan membahagiakan.,Pijetan is the name of a fruit that tastes sweet and refreshing sour. The meaning of this motif is a hope that the wearer can maintain a balance of life to achieve a calm and happy life.
54,Sarimulat,"Sari adalah inti, sedangkan mulat dalam bahasa jawa berarti mawas diri. Dari selembar motif kain nitik sari mulat dapat disampaikan pesan bahwa menjadi manusia harus selalu memiliki perilaku yang mawas diri.
","Sari is the essence, while mulat means introspective in Javanese. A piece of cloth of a nitik sari mulat motif can convey a message that being a human must always have introspective behavior."
55,Sekar Mrica,"Merica (Piper nigrum) berasa pedas tetapi sekaligus menyebabkan semangat untuk membangun selera makan yang baik, jadi makna dari motif batik ini adalah segala hal pengalaman dalam hidup, baik yang manis maupun yang pedas harus siap dihadapi demi memperkaya pengalaman kita semua.","Pepper (Piper nigrum) tastes spicy but at the same time causes enthusiasm to build a good appetite. So, the meaning of this batik motif is that all experiences in life, both sweet and spicy, must be faced to enrich our experience."
56,Sekar Kepel,Tanaman kepel (Stelechocarpus burahol) selalu mempunyai buah yang menempel pada batangnya. Kepel juga merupakan kata dalam Bahasa Jawa yang menunjukkan gerakan berkumpulnya seluruh jari-jari tangan yang menyatu. Menunjukkan semangat keber-samaan dan persatuan dalam menjalankan segala hal. Artinya di dalam menyelesaikan suatu masalah kita akan berhasil baik apabila kita bersatu dan mengerjakan pekerjaan itu bersama-sama.,The fruits of a kepel (Stelechocarpus burahol) plant are always attached to the stem. Kepel is also a Javanese word that indicates the movement of all fingers coming together. showing the spirit of togetherness and unity in carrying out all things. This means that solving a problem will succeed well if we unite and do the work together.
57,Truntum Kurung,"Dalam bahasa Jawa tumaruntum mempunyai arti menurun ke generasi berikutnya. Bentuk dari truntum menggambarkan sinar bintang, jadi makna dari truntum adalah dengan sinar yang terang, kehidupan yang mulia dapat diturunkan pada generasi berikutnya.","In Javanese, the word tumaruntum means to pass down to the next generation. The shape of the truntum depicts star lights, so the meaning of the truntum motif is that with a bright light, noble life can be passed on to the next generation."
58,Jayakusuma,Jaya Kusuma adalah nama salah satu anak Arjuna dalam cerita Mahabarata yang sangat taat pada perintah dan sebagai pahlawan muda yang disegani. Motif ini merupakan simbol teladan akan sikap patuh dalam menjalankan sikap sesepuhnya.,Jaya Kusuma was the name of one of Arjuna's sons in the Mahabharata epic who is very obedient to orders and a respected young hero. This motif is an exemplary symbol of obedience in carrying out the attitude of the elders.
59,Rengganis,"Rengganis adalah nama tokoh perempuan yang cantik jelita dalam cerita Menak, putri dari Raya Mukaji yang berasal dari Kerajaan Mukadam. Ragam hias ini merupakan simbol dari langkah yang baik dalam membela kebenaran.","Rengganis is the name of a beautiful female character in the Menak epic, namely the daughter of Raya Mukaji of the Mukadam Kingdom. This motif symbolizes a good step in defending the truth."
60,Sekar Gambir,"Sekar Gambir (Jasminum officinale) adalah bunga berwarna putih bersih dan sangat harum. Simbol sekar gambir berarti kesucian hati yang akan menimbulkan hal yang harum. Sekar gambir melukiskan bentuk bunga tanaman melati gambir, yaitu bunga yang tampak atasnya berwarna putih tetapi tampak luarnya waktu masih kuncup bewarna ungu kemerahan. Bunga melati gambir menjelang mekar menebarkan bau harum dan biasa digunakan sebagai pengharum teh wangi. Batik ragam hias kembang gambir ini menyatakan bentuk bunga gambir yang mekar jika dilihat dari atas. Ragam hias batik ini merupakan simbol kemuliaan seseorang dalam hidupnya yang selalu menebarkan perilaku yang baik (harum) bagi lingkungan-nya. Sehingga ragam hias ini merupakan harapan bahwa pemakainya selalu berperilaku mulia.","Sekar Gambir (Jasminum officinale) is a pure white flower and very fragrant. Sekar gambir symbolizes the purity of heart which will bring in something fragrant. Sekar gambir depicts the shape of jasmine gambir flowers, which look white at the top but look reddish-purple when they are still in buds. Gambir jasmine flowers before blooming spread fragrance and are usually used to scent tea. This gambir flower motif depicts the shape of blooming gambir flowers when viewed from above. This motif symbolizes the glory of a person who always spreads good behavior (fragrance) for the environment. Thus, this motif is a hope that the wearer always behaves noble."
